Nama;Tanggal Tes;Jenis Kelamin;Tanggal Lahir;Asal Sekolah;Jurusan;Asal Universitas;Jurusan2;Kota;Hobi;Prestasi Akademik;Prestasi Non Akdemik;Ekskul Yang Diikuti
Agus Suherman Wirjan;1998/01/10;L;1998/01/30;;;;;;;;;
Agus Susanto;1998/01/22;L;1998/01/08;;;;;;;;;
Agus Tjandra;1998/01/09;L;1998/01/27;;;;;;;;;
Agus Widagdo;1998/02/04;L;1998/01/20;;;;;;;;;
Agustinus Prasetio;1998/01/07;L;1998/01/12;;;;;;;;;
Agustinus Wishnu Handoyono;1998/01/22;L;1998/01/07;;;;;;;;;
Aguston Makmur;1998/01/17;L;1998/01/18;;;;;;;;;
Ahadiat Wargana;1998/02/02;L;1998/02/01;;;;;;;;;
Ahmad Dipoditiro;1998/01/20;L;1998/01/15;;;;;;;;;
Ahmad Marda;1998/01/24;L;1998/01/19;;;;;;;;;
Ahmad Rahman Pasaman;1998/02/03;L;1998/02/02;;;;;;;;;
Ahmaddin Ahmad;1998/01/21;L;1998/01/12;;;;;;;;;
Ahmades Miqailla;1998/01/22;L;1998/01/15;;;;;;;;;
Ahsanil Gusnawati;1998/01/08;L;1998/01/23;;;;;;;;;
Aida Ishak;1998/01/25;L;1998/01/21;;;;;;;;;
AIRIN OKTAVIANY GUNAWAN;1998/01/21;L;1998/01/29;;;;;;;;;
Aiwy;1998/01/07;L;1998/01/26;;;;;;;;;
Aizid Syafriel Adjam;1998/01/07;L;1998/01/12;;;;;;;;;
Aji Bayu Wirrotama;1998/01/11;L;1998/02/05;;;;;;;;;
"AJI WIJAYA, SUNARTO YUDO & CO";1998/01/14;L;1998/01/30;;;;;;;;;
Akbar Yoso Trisedia;1998/01/19;L;1998/01/18;;;;;;;;;
Alan Clark;1998/01/12;L;1998/01/17;;;;;;;;;
Alan Robertson Clark;1998/01/22;L;1998/02/02;;;;;;;;;
Alanberg Pte. Ltd.;1998/01/15;L;1998/02/04;;;;;;;;;
ALBERT CAHYADI SUKANDADINATA;1998/01/20;L;1998/01/22;;;;;;;;;
Albert Kongoasa;1998/01/08;L;1998/01/18;;;;;;;;;
Albert Sugianto;1998/01/16;L;1998/02/02;;;;;;;;;
Albert Suherman;1998/01/08;L;1998/02/05;;;;;;;;;
Aldo Putra Brasali;1998/02/01;L;1998/01/15;;;;;;;;;
Alex Ivan Tanoyo;1998/01/17;L;1998/01/07;;;;;;;;;
Alexander Hermas Wolfe;1998/01/10;L;1998/02/05;;;;;;;;;
Alexander Johan Widjaja;1998/01/26;L;1998/01/08;;;;;;;;;
Alexander Thaslim;1998/02/04;L;1998/01/22;;;;;;;;;
Alexandra Miksar;1998/01/21;L;1998/02/04;;;;;;;;;
Alexandra Miksar and Djoni Aristianto Prasetio;1998/02/03;L;1998/01/22;;;;;;;;;
Alexandra Miksar and others;1998/01/23;L;1998/01/12;;;;;;;;;
Alfari Narindra;1998/01/27;L;1998/02/05;;;;;;;;;
Ali Alimsyah;1998/01/19;L;1998/01/15;;;;;;;;;
Ali Chendra;1998/02/01;L;1998/01/11;;;;;;;;;
Alice Haryono;1998/01/08;L;1998/01/19;;;;;;;;;
Alien Wibowo;1998/01/08;L;1998/01/29;;;;;;;;;
Aling Hermawan Oey;1998/01/10;L;1998/01/13;;;;;;;;;
Alisyahrazad Hanafiah;1998/01/11;L;1998/01/22;;;;;;;;;
Allan Dijaya Keller;1998/01/19;L;1998/01/20;;;;;;;;;
Allan Tjahja Tjao;1998/01/18;L;1998/01/06;;;;;;;;;
Aluinanto Sandjojo;1998/01/19;L;1998/01/09;;;;;;;;;
Alvin Gozali;1998/01/12;L;1998/01/21;;;;;;;;;
Alwi Alatas;1998/01/08;L;1998/02/05;;;;;;;;;
Alwijaya Aw;1998/01/17;L;1998/01/22;;;;;;;;;
Amalia;1998/01/27;L;1998/02/02;;;;;;;;;
Amalia Aristiningsih;1998/01/30;L;1998/01/14;;;;;;;;;
Amaluddin Djambak;1998/01/17;L;1998/01/15;;;;;;;;;
Aman;1998/01/19;L;1998/01/15;;;;;;;;;
Ameesh Anand;1998/01/20;L;1998/02/03;;;;;;;;;
Amelia Kurniawan;1998/01/31;L;1998/01/10;;;;;;;;;
Amelia Mulyono;1998/01/26;L;1998/01/27;;;;;;;;;
American Express Bank Ltd (Indonesia);1998/01/07;L;1998/01/24;;;;;;;;;
Amin Halim;1998/01/09;L;1998/01/29;;;;;;;;;
Amin Supriyadi Liu;1998/02/03;L;1998/01/23;;;;;;;;;
Aminoto Sutandi;1998/01/11;L;1998/01/22;;;;;;;;;
Aminoto Sutandy;1998/01/24;L;1998/01/26;;;;;;;;;
Amrullah Hasyim;1998/01/07;L;1998/01/06;;;;;;;;;
Amy Delia;1998/01/29;L;1998/01/29;;;;;;;;;
Anak Agung Alit Wiradarma;1998/02/04;L;1998/01/08;;;;;;;;;
Anak Agung Gde Agung;1998/01/10;L;1998/01/18;;;;;;;;;
Ananda Soewono;1998/01/26;L;1998/01/26;;;;;;;;;
Ance Anggraeny;1998/01/12;L;1998/01/10;;;;;;;;;
Andang Bachtiar;1998/02/03;L;1998/01/11;;;;;;;;;
Andhika Anindyaguna Hermanto;1998/02/01;L;1998/01/29;;;;;;;;;
Andi Achmad Dara;1998/02/04;L;1998/01/30;;;;;;;;;
Andi Ahmad Dara and Evi Yulisma Harahap as joint tenants with right of survivorship;1998/02/02;L;1998/01/19;;;;;;;;;
Andi Gunawan Wibowo;1998/01/10;L;1998/01/18;;;;;;;;;
Andi Pravidia Saliman;1998/01/22;L;1998/01/06;;;;;;;;;
Andi Zainal A. Dulung;1998/01/13;L;1998/01/18;;;;;;;;;
Andiko Ardi Purnomo;1998/01/13;L;1998/02/03;;;;;;;;;
Andre Abdi;1998/01/10;L;1998/01/10;;;;;;;;;
Andre Johannes Mamuaya;1998/01/23;L;1998/01/27;;;;;;;;;
Andre S Prijono;1998/01/09;L;1998/01/23;;;;;;;;;
Andre Sukendra Atmadja;1998/01/29;L;1998/02/02;;;;;;;;;
Andreas Andikha Bunanta;1998/01/07;L;1998/01/21;;;;;;;;;
Andreas Kastono;1998/02/03;L;1998/01/09;;;;;;;;;
Andreas Kongoasa;1998/01/09;L;1998/01/11;;;;;;;;;
Andreas Tjahjadi;1998/01/06;L;1998/01/09;;;;;;;;;
Andrew I Sriro;1998/01/06;L;1998/01/26;;;;;;;;;
Andrew K. Labbiaka;1998/01/25;L;1998/01/30;;;;;;;;;
Andrew McKay;1998/01/17;L;1998/01/24;;;;;;;;;
Andrew Mellon Priasmoro;1998/01/20;L;1998/01/20;;;;;;;;;
Andrew Tanoto;1998/01/30;L;1998/01/24;;;;;;;;;
Andrew Thomas Eriksson;1998/01/07;L;1998/02/04;;;;;;;;;
Andrie Setiawan Yapsir;1998/01/11;L;1998/01/29;;;;;;;;;
Andry Irwan Djugo;1998/01/08;L;1998/01/12;;;;;;;;;
Andry Pribady;1998/01/15;L;1998/01/22;;;;;;;;;
Andry Setiawan;1998/02/03;L;1998/01/29;;;;;;;;;
Andy Nugroho Purwohardono;1998/01/08;L;1998/02/01;;;;;;;;;
Andy Soewatdy;1998/01/21;L;1998/01/31;;;;;;;;;
Andy Wiryanto Ong;1998/01/15;L;1998/01/18;;;;;;;;;
Ang Lian Ping;1998/01/12;L;1998/01/07;;;;;;;;;
Ang Rianti;1998/02/05;L;1998/01/23;;;;;;;;;
Ang Rosabella Martina;1998/01/18;L;1998/01/14;;;;;;;;;
Angela Lestari Widjaja;1998/01/14;L;1998/01/25;;;;;;;;;
Angelique Stampfer;1998/01/16;L;1998/01/11;;;;;;;;;
Angie Christina;1998/01/08;L;1998/01/27;;;;;;;;;
Angus Maclachlan;1998/01/20;L;1998/02/05;;;;;;;;;
Angus Nelson Karoll;1998/01/27;L;1998/01/17;;;;;;;;;
Ani Sim;1998/01/12;L;1998/01/12;;;;;;;;;
Anil Kumar Lachman Panjabi;1998/01/22;L;1998/01/24;;;;;;;;;
Anindya N. Bakrie;1998/02/02;L;1998/01/11;;;;;;;;;
Anita Kalim;1998/01/15;L;1998/02/03;;;;;;;;;
Anita Ratnasari;1998/01/09;L;1998/01/30;;;;;;;;;
Anna Solana Hamami Kadarachman;1998/01/18;L;1998/01/19;;;;;;;;;
Anna Sri Dewi Sianto;1998/01/20;L;1998/01/15;;;;;;;;;
Annie Halim;1998/02/05;L;1998/01/06;;;;;;;;;
Anthony Brent Elam;1998/01/19;L;1998/02/05;;;;;;;;;
Anthony Dominic Byron;1998/01/06;L;1998/01/14;;;;;;;;;
Anthony Kurniadi;1998/01/31;L;1998/02/01;;;;;;;;;
Anthony Salim;1998/01/17;L;1998/01/31;;;;;;;;;
Anthony Siswanto;1998/01/13;L;1998/01/11;;;;;;;;;
Anthony Wijaya;1998/01/30;L;1998/01/13;;;;;;;;;
